"ID","DATAISTITUZIONE","DATACESSAZIONE","CODISTAT","CODCATASTALE","DENOMINAZIONE_IT","DENOMTRASLITTERATA","ALTRADENOMINAZIONE","ALTRADENOMTRASLITTERATA","ID_PROVINCIA","IDPROVINCIAISTAT","IDREGIONE","IDPREFETTURA","STATO","SIGLAPROVINCIA","FONTE","DATAULTIMOAGG","COD_DENOM"
17696,"1927-06-17","1929-02-23","055001","A045","ACQUASPARTA","ACQUASPARTA","","",55,"055","10","","C","TR","","2016-06-17",""
51,"1929-02-24","9999-12-31","055001","A045","ACQUASPARTA","ACQUASPARTA","","",55,"055","10","TR","A","TR","","2016-06-17",""
17698,"1861-03-17","1924-01-11","013802","A046","ACQUATE","ACQUATE","","",13,"013","03","","C","CO","","2016-06-17",""
55,"1861-03-17","9999-12-31","070001","A050","ACQUAVIVA COLLECROCE","ACQUAVIVA COLLECROCE","","",70,"070","14","CB","A","CB","","2016-06-17",""
53,"1863-01-19","9999-12-31","072001","A048","ACQUAVIVA DELLE FONTI","ACQUAVIVA DELLE FONTI","","",72,"072","16","BA","A","BA","","2016-06-17",""
57,"1861-03-17","1928-05-31","070002","A051","ACQUAVIVA D'ISERNIA","ACQUAVIVA D'ISERNIA","","",70,"070","14","","C","CB","","2016-06-17",""
17699,"1946-04-26","1970-03-02","070002","A051","ACQUAVIVA D'ISERNIA","ACQUAVIVA D'ISERNIA","","",70,"070","14","","C","CB","","2016-06-17",""
56,"1970-03-03","9999-12-31","094001","A051","ACQUAVIVA D'ISERNIA","ACQUAVIVA D'ISERNIA","","",94,"094","14","IS","A","IS","","2016-06-17",""
52,"1862-11-24","9999-12-31","044002","A047","ACQUAVIVA PICENA","ACQUAVIVA PICENA","","",44,"044","11","AP","A","AP","","2016-06-17",""
54,"1862-10-31","9999-12-31","085001","A049","ACQUAVIVA PLATANI","ACQUAVIVA PLATANI","","",85,"085","19","CL","A","CL","","2016-06-17",""
11116,"1969-12-14","9999-12-31","083107","M211","ACQUEDOLCI","ACQUEDOLCI","","",83,"083","19","ME","A","ME","","2016-06-17",""
17702,"1861-03-17","1929-02-13","006001","A052","ACQUI","ACQUI","","",6,"006","01","","C","AL","","2016-06-17","006500"
59,"1929-02-14","1929-05-13","006001","A052","ACQUI","ACQUI","","",6,"006","01","","C","AL","","2016-06-17","006500"
17700,"1929-05-14","1947-11-25","006001","A052","ACQUI","ACQUI","","",6,"006","01","","C","AL","","2016-06-17","006500"
17701,"1947-11-26","1956-05-23","006001","A052","ACQUI","ACQUI","","",6,"006","01","","C","AL","","2016-06-17","006500"
58,"1956-05-24","9999-12-31","006001","A052","ACQUI TERME","ACQUI TERME","","",6,"006","01","AL","A","AL","","2016-06-17",""
60,"1861-03-17","9999-12-31","078003","A053","ACRI","ACRI","","",78,"078","18","CS","A","CS","","2016-06-17",""
17703,"1871-01-15","1927-01-11","058804","A054","ACUTO","ACUTO","","",58,"058","12","","C","RM","","2016-06-17",""
61,"1927-01-12","9999-12-31","060002","A054","ACUTO","ACUTO","","",60,"060","12","FR","A","FR","","2016-06-17",""
62,"1927-11-08","9999-12-31","072002","A055","ADELFIA","ADELFIA","","",72,"072","16","BA","A","BA","","2016-06-17",""
17704,"1861-03-17","1929-08-22","087006","A056","ADERNÒ","ADERNO'","","",87,"087","19","","C","CT","","2016-06-17","087500"
63,"1929-08-23","9999-12-31","087006","A056","ADRANO","ADRANO","","",87,"087","19","CT","A","CT","","2016-06-17",""
64,"1861-03-17","9999-12-31","016001","A057","ADRARA SAN MARTINO","ADRARA SAN MARTINO","","",16,"016","03","BG","A","BG","","2016-06-17",""
65,"1861-03-17","9999-12-31","016002","A058","ADRARA SAN ROCCO","ADRARA SAN ROCCO","","",16,"016","03","BG","A","BG","","2016-06-17",""
17705,"1866-11-19","1929-01-12","029001","A059","ADRIA","ADRIA","","",29,"029","05","","C","RO","","2016-06-17",""
66,"1929-01-13","9999-12-31","029001","A059","ADRIA","ADRIA","","",29,"029","05","RO","A","RO","","2016-06-17",""
17707,"1861-03-17","1928-08-13","017002","A060","ADRO","ADRO","","",17,"017","03","","C","BS","","2016-06-17",""
17706,"1928-08-14","1962-05-25","017002","A060","ADRO","ADRO","","",17,"017","03","","C","BS","","2016-06-17",""
67,"1962-05-26","9999-12-31","017002","A060","ADRO","ADRO","","",17,"017","03","BS","A","BS","","2016-06-17",""
68,"1866-11-19","9999-12-31","023001","A061","AFFI","AFFI","","",23,"023","05","VR","A","VR","","2016-06-17",""
69,"1871-01-15","9999-12-31","058001","A062","AFFILE","AFFILE","","",58,"058","12","RM","A","RM","","2016-06-17",""
70,"1884-08-23","1923-10-13","015801","A063","AFFORI","AFFORI","","",15,"015","03","","C","MI","","2017-11-11",""
17709,"1861-03-17","1929-04-12","063002","A064","AFRAGOLA","AFRAGOLA","","",63,"063","15","","C","NA","","2016-06-17",""
17708,"1929-04-13","1958-03-14","063002","A064","AFRAGOLA","AFRAGOLA","","",63,"063","15","","C","NA","","2016-06-17",""
71,"1958-03-15","9999-12-31","063002","A064","AFRAGOLA","AFRAGOLA","","",63,"063","15","NA","A","NA","","2016-06-17",""
17710,"1861-03-17","1978-06-09","080001","A065","AFRICO","AFRICO","","",80,"080","18","","C","RC","","2016-06-17",""
72,"1978-06-10","9999-12-31","080001","A065","AFRICO","AFRICO","","",80,"080","18","RC","A","RC","","2016-06-17",""
73,"1861-03-17","1928-10-16","003801","A066","AGARO","AGARO","","",3,"003","01","","C","NO","","2016-06-17",""
74,"1861-03-17","9999-12-31","033001","A067","AGAZZANO","AGAZZANO","","",33,"033","08","PC","A","PC","","2016-06-17",""
75,"1861-03-17","9999-12-31","063003","A068","AGEROLA","AGEROLA","","",63,"063","15","NA","A","NA","","2016-06-17",""
77,"1861-03-17","1958-08-11","090001","A069","AGGIUS","AGGIUS","","",90,"090","20","","C","SS","","2016-06-17",""
17711,"1958-08-12","1969-04-14","090001","A069","AGGIUS","AGGIUS","","",90,"090","20","","C","SS","","2016-06-17",""
17712,"1969-04-15","1975-05-03","090001","A069","AGGIUS","AGGIUS","","",90,"090","20","","C","SS","","2016-06-17",""
17713,"1975-05-04","2005-12-31","090001","A069","AGGIUS","AGGIUS","","",90,"090","20","","C","SS","","2016-06-17",""
76,"2006-01-01","2016-04-27","104001","A069","AGGIUS","AGGIUS","","",104,"104","20","","C","OT","","2017-11-11",""
22821,"2016-04-28","9999-12-31","090001","A069","AGGIUS","AGGIUS","","",90,"090","20","SS","A","SS","","2017-11-11",""
17714,"1861-03-17","1927-01-11","087803","A070","AGIRA","AGIRA","","",87,"087","19","","C","CT","","2016-06-17",""
78,"1927-01-12","9999-12-31","086001","A070","AGIRA","AGIRA","","",86,"086","19","EN","A","EN","","2016-06-17",""
17715,"1913-11-09","1927-01-11","048806","A071","AGLIANA","AGLIANA","","",48,"048","09","","C","FI","","2016-06-17",""
79,"1927-01-12","9999-12-31","047002","A071","AGLIANA","AGLIANA","","",47,"047","09","PT","A","PT","","2016-06-17",""
17717,"1861-03-17","1935-04-07","006827","A072","AGLIANO","AGLIANO","","",6,"006","01","","C","AL","","2018-08-08","005500"
17716,"1935-04-08","1995-03-17","005001","A072","AGLIANO","AGLIANO","","",5,"005","01","","C","AT","","2016-06-17","005500"
11030,"1921-01-05","1923-02-07","801254","M134","VOLZANA","VOLZANA","","",31,"031","06","","C","GO","","2016-06-17",""
19685,"1923-02-08","1927-01-11","030945","M134","VOLZANA","VOLZANA","","",30,"030","06","","C","UD","","2016-06-17",""
19686,"1927-01-12","1928-05-11","031879","M134","VOLZANA","VOLZANA","","",31,"031","06","","C","GO","","2017-11-11",""
11031,"1921-01-05","1923-02-07","801255","M135","VOSCHIA","VOSCHIA","","",31,"031","06","","C","GO","","2016-06-17",""
19687,"1923-02-08","1927-01-11","030946","M135","VOSCHIA","VOSCHIA","","",30,"030","06","","C","UD","","2016-06-17",""
19895,"1927-01-12","1928-08-23","031880","M135","VOSCHIA","VOSCHIA","","",31,"031","06","","C","GO","","2017-11-11",""
11032,"1861-03-17","9999-12-31","004250","M136","VOTTIGNASCO","VOTTIGNASCO","","",4,"004","01","CN","A","CN","","2016-06-17",""
19896,"1921-01-05","1923-02-07","801128","F652","VRABICE","VRABICE","","",31,"031","06","","C","GO","","2016-06-17",""
19897,"1923-02-08","1923-04-26","030883","F652","VRABICE","VRABICE","","",30,"030","06","","C","UD","","2016-06-17",""
11034,"1918-12-13","1992-04-15","079156","M138","ZACCANOPOLI","ZACCANOPOLI","","",79,"079","18","","C","CZ","","2016-06-17",""
11035,"1992-04-16","9999-12-31","102048","M138","ZACCANOPOLI","ZACCANOPOLI","","",102,"102","18","VV","A","VV","","2016-06-17",""
19899,"1861-03-17","1934-04-06","087055","M139","ZAFFERANA ETNEA","ZAFFERANA ETNEA","","",87,"087","19","","C","CT","","2016-06-17",""
19898,"1934-04-07","1951-05-05","087055","M139","ZAFFERANA ETNEA","ZAFFERANA ETNEA","","",87,"087","19","","C","CT","","2016-06-17",""
11036,"1951-05-06","9999-12-31","087055","M139","ZAFFERANA ETNEA","ZAFFERANA ETNEA","","",87,"087","19","CT","A","CT","","2016-06-17",""
11037,"1861-03-17","9999-12-31","079157","M140","ZAGARISE","ZAGARISE","","",79,"079","18","CZ","A","CZ","","2016-06-17",""
